"Date","Price","Open","High","Low","Vol.","Change %"
"26/07/2023","172.72","172.00","173.85","171.40","14.29M","0.19%"
"27/07/2023","173.69","172.18","174.29","172.04","12.45M","0.56%"
"28/07/2023","174.48","174.00","175.36","173.23","14.14M","0.45%"
"31/07/2023","167.53","169.69","170.22","166.71","22.63M","-3.98%"
"01/08/2023","168.89","166.37","169.09","166.06","15.81M","0.81%"
"02/08/2023","169.91","168.85","171.24","168.85","14.60M","0.60%"
"03/08/2023","170.64","169.95","171.32","169.67","17.43M","0.43%"
"04/08/2023","169.04","170.34","172.68","167.89","23.42M","-0.94%"
"07/08/2023","173.10","169.49","173.34","169.36","17.74M","2.40%"
"08/08/2023","173.18","172.99","173.55","171.39","27.38M","0.05%"
"09/08/2023","173.07","173.00","174.25","172.05","42.97M","-0.06%"
"10/08/2023","172.17","174.00","175.97","171.64","48.21M","-0.52%"
"11/08/2023","173.85","172.48","173.95","171.62","45.91M","0.98%"
"14/08/2023","173.44","173.52","175.60","171.75","64.04M","-0.24%"
"15/08/2023","172.94","172.80","174.56","172.14","88.92M","-0.29%"
"16/08/2023","172.39","172.53","174.73","172.13","85.59M","-0.32%"
"17/08/2023","174.01","172.86","175.39","172.76","70.90M","0.94%"
"18/08/2023","172.49","173.17","173.99","171.31","49.63M","-0.87%"
"21/08/2023","167.35","169.69","169.85","165.96","151.32M","-2.98%"
"22/08/2023","166.02","166.86","167.84","165.41","56.84M","-0.79%"
"23/08/2023","164.53","165.90","166.50","163.47","119.01M","-0.90%"
"24/08/2023","165.09","164.03","166.67","163.86","70.76M","0.34%"
"25/08/2023","166.25","164.30","167.78","164.06","18.19M","0.70%"
"28/08/2023","164.29","165.00","166.21","163.16","18.46M","-1.18%"
"29/08/2023","164.31","164.87","165.68","162.77","12.21M","0.01%"
"30/08/2023","163.73","165.11","165.83","163.68","9.94M","-0.35%"
"31/08/2023","161.68","163.37","163.57","161.28","15.33M","-1.25%"
"01/09/2023","160.48","161.42","162.48","160.01","8.61M","-0.74%"
"05/09/2023","160.68","160.56","161.97","160.28","9.02M","0.12%"
"06/09/2023","158.01","159.84","160.00","157.35","9.75M","-1.66%"
"07/09/2023","160.03","159.14","161.06","158.98","9.93M","1.28%"
"08/09/2023","160.56","159.59","160.68","159.19","6.96M","0.33%"
"11/09/2023","162.66","161.06","162.69","160.45","6.31M","1.31%"
"12/09/2023","163.58","162.22","163.93","161.53","6.05M","0.57%"
"13/09/2023","163.99","163.76","164.95","163.00","7.40M","0.25%"
"14/09/2023","163.74","164.68","165.27","163.44","7.76M","-0.15%"
"15/09/2023","161.45","163.98","164.82","161.21","13.39M","-1.40%"
"18/09/2023","162.47","162.12","163.15","160.75","5.79M","0.63%"
"19/09/2023","162.20","162.25","162.85","161.38","5.55M","-0.17%"
"20/09/2023","162.91","162.19","163.54","161.66","3.84M","0.44%"
"21/09/2023","161.66","162.57","163.50","161.59","4.53M","-0.77%"
"22/09/2023","160.50","161.30","161.40","160.25","4.98M","-0.72%"
"25/09/2023","160.26","160.07","160.36","158.73","6.72M","-0.15%"
"26/09/2023","159.02","159.81","160.08","158.86","4.90M","-0.77%"
"27/09/2023","157.11","158.58","158.76","155.26","10.21M","-1.20%"
"28/09/2023","156.88","157.50","157.96","156.22","7.86M","-0.15%"
"29/09/2023","155.75","157.37","157.60","155.35","7.68M","-0.72%"
"02/10/2023","155.15","155.42","155.42","153.32","7.26M","-0.39%"
"03/10/2023","155.34","154.68","155.49","153.89","5.74M","0.12%"
